id,query,route,answer_len,numbers_grounded,has_citation,correction_evidence_complete,passed,latency_sec
1,삼성전자 2025년 사업보고서에서 매출액 알려줘,single_lookup,220,True,True,,True,2.72
2,삼성전자 2026년 1분기 영업이익 얼마야?,single_lookup,154,True,True,,True,2.51
3,삼성전자 연구개발비 얼마야?,single_lookup,270,True,True,,True,3.88
5,삼성전자 반도체 위탁생산 계약금액 얼마야?,single_lookup,228,True,True,,True,2.83
6,삼성전자 2026년 1월 자기주식 취득예정금액 얼마야?,single_lookup,146,True,True,,True,2.45
7,삼성전자 해외증권시장 상장 결정 내용 알려줘,single_lookup,731,True,True,,True,8.78
9,삼성전자 2024년 11월 자기주식취득 공시 정정 전후로 뭐가 바뀌었어?,correction_analysis,573,True,True,True,True,6.18
10,삼성전자 2025년 2월 자기주식취득 정정공시 내용 알려줘,correction_analysis,85,True,False,False,False,1.13
11,삼성전자 단일판매공급계약체결 정정 전후 비교해줘,correction_analysis,1190,True,True,True,True,4.83
13,삼성전자 최근 정정공시 이력 알려줘,correction_analysis,456,False,False,False,False,5.72
14,삼성전자 공급계약 계약상대방이 정정으로 어떻게 바뀌었어?,correction_analysis,218,True,True,True,True,3.9
17,삼성전자 2025년과 2026년 자기주식취득 규모 비교해줘,multi_compare,242,True,True,,True,27.14
18,삼성전자 사업보고서와 분기보고서 실적 비교해줘,multi_compare,20,True,True,,True,2.22
19,삼성전자 삼성물산 보유주식 변동 추이 알려줘,multi_compare,1012,True,True,,True,10.89
21,삼성전자 반도체 위탁생산 계약금액이 최근매출액 대비 몇 %야?,calculation,220,False,True,,False,5.32
22,삼성전자 영업이익률 계산해줘,calculation,174,False,True,,False,3.27
23,삼성전자 부채비율 계산해줘,calculation,222,False,True,,False,3.48
25,삼성전자 최대주주가 누구야?,ownership_analysis,585,True,True,,True,7.36
27,삼성전자 최근 대량보유상황보고서 내용 알려줘,ownership_analysis,889,True,True,,True,14.85
29,삼성전자 지분 보고자 특별관계자 현황 알려줘,ownership_analysis,1514,True,False,,False,18.86
30,삼성전자 2025년 9월 지분보고 내용 알려줘,ownership_analysis,806,True,True,,True,12.74
31,삼성전자 2026년 1월 지분 변동 내역 알려줘,ownership_analysis,73,True,True,,True,2.95
33,삼성전자 최근 자기주식 취득 결정했어?,event_analysis,451,True,True,,True,6.73
34,삼성전자 최근 자기주식 처분 결정했어?,event_analysis,411,False,True,,False,5.05
35,삼성전자 해외 상장 관련 이벤트 있었어?,event_analysis,641,True,True,,True,7.64
37,삼성전자 최근 대규모 계약 체결 있었어?,event_analysis,503,True,True,,True,6.48
38,삼성전자 2026년 3월 자기주식 관련 결정 내용 알려줘,event_analysis,531,True,True,,True,6.3
39,삼성전자 2025년 5월 자기주식처분 결정 내용 알려줘,event_analysis,499,True,True,,True,5.79
